[2025-04-30 22:06:36,247] INFO in app: Logging setup complete!
'FLASK_ENV' is deprecated and will not be used in Flask 2.3. Use 'FLASK_DEBUG' instead.
 * Debugger is active!
 * Debugger PIN: 143-597-879
 * Detected change in '/home/pi/webapp/app.py', reloading
30 22:07:00,937 - Logging setup complete!
2025-04-30 22:07:14,602 - Accessing alsamixer
2025-04-30 22:07:14,603 - check for audio devices
2025-04-30 22:07:17,286 - Accessing alsamixer
2025-04-30 22:07:17,287 - check for audio devices
2025-04-30 22:07:17,319 - Accessing alsamixer
2025-04-30 22:07:17,320 - check for audio devices
2025-04-30 22:07:20,960 - Accessing Audiomonitor
2025-04-30 22:07:34,570 - Stopping GStreamer pipeline...
2025-04-30 22:07:34,599 - GStreamer pipeline stopped successfully.
2025-04-30 22:07:38,179 - Accessing alsamixer
2025-04-30 22:07:38,180 - check for audio devices
2025-04-30 22:07:42,965 - Accessing alsamixer
2025-04-30 22:07:42,966 - check for audio devices
2025-04-30 22:07:42,982 - Accessing alsamixer
2025-04-30 22:07:42,983 - check for audio devices
2025-04-30 22:07:47,791 - Accessing Audiomonitor
2025-04-30 22:08:45,434 - Accessing alsamixer
2025-04-30 22:08:45,436 - check for audio devices
2025-04-30 22:08:50,263 - Accessing alsamixer
2025-04-30 22:08:50,264 - check for audio devices
2025-04-30 22:08:50,280 - Accessing alsamixer
2025-04-30 22:08:50,281 - check for audio devices
2025-04-30 22:08:55,955 - Accessing Audiomonitor
2025-05-01 01:13:31,519 - Starting Recording process
2025-05-01 01:13:31,521 - Recording filename: 1_Rec._05_01_25.mp3
2025-05-01 01:13:31,522 - Using ALSA device: plughw:0,0
2025-05-01 01:13:31,524 - Recording started, saving to /home/pi/webapp/recordings/1_Rec._05_01_25.mp3
2025-05-01 01:13:37,767 - User accessed recordings page
2025-05-01 01:13:43,426 - User accessed recordings page
2025-05-01 01:13:50,901 - User accessed recordings page
2025-05-01 01:13:52,829 - User accessed recordings page
2025-05-01 01:40:01,860 - Stopping Recording process
2025-05-01 09:25:27,128 - Logging setup complete!
2025-05-01 09:25:28,900 - Logging setup complete!
2025-05-01 09:25:46,684 - Accessing alsamixer
2025-05-01 09:25:46,685 - check for audio devices
2025-05-01 09:25:58,842 - Accessing alsamixer
2025-05-01 09:25:58,843 - check for audio devices
2025-05-01 09:25:58,858 - Accessing alsamixer
2025-05-01 09:25:58,859 - check for audio devices
2025-05-01 09:26:07,200 - Accessing Audiomonitor
2025-05-01 09:33:04,659 - Logging setup complete!
2025-05-01 09:33:25,081 - Accessing alsamixer
2025-05-01 09:33:25,082 - check for audio devices
2025-05-01 09:33:32,210 - Accessing alsamixer
2025-05-01 09:33:32,211 - check for audio devices
2025-05-01 09:33:35,458 - accessing Diagnostics
2025-05-01 09:33:40,010 - App restarting
2025-05-01 09:33:42,069 - Logging setup complete!
2025-05-01 09:33:43,695 - Logging setup complete!
2025-05-01 09:33:55,988 - Accessing Audiomonitor
2025-05-01 09:33:55,993 - Starting GStreamer pipeline with ALSA device: plughw:0,0
2025-05-01 09:33:56,069 - GStreamer is running for audio monitoring.
2025-05-01 09:34:14,947 - Stopping GStreamer pipeline...
2025-05-01 09:34:14,993 - GStreamer pipeline stopped successfully.
2025-05-01 09:34:17,329 - Accessing alsamixer
2025-05-01 09:34:17,331 - check for audio devices
2025-05-01 09:34:22,255 - Accessing alsamixer
2025-05-01 09:34:22,256 - check for audio devices
2025-05-01 09:34:22,271 - Accessing alsamixer
2025-05-01 09:34:22,272 - check for audio devices
2025-05-01 09:34:24,661 - Accessing alsamixer
2025-05-01 09:34:24,661 - check for audio devices
2025-05-01 09:34:24,677 - Accessing alsamixer
2025-05-01 09:34:24,678 - check for audio devices
2025-05-01 09:34:33,061 - Accessing alsamixer
2025-05-01 09:34:33,063 - check for audio devices
2025-05-01 09:34:33,077 - Accessing alsamixer
2025-05-01 09:34:33,078 - check for audio devices
2025-05-01 09:34:37,515 - Accessing Audiomonitor
2025-05-01 09:34:37,520 - Starting GStreamer pipeline with ALSA device: plughw:0,0
2025-05-01 09:36:46,105 - Accessing Audiomonitor
2025-05-01 09:36:46,110 - Starting GStreamer pipeline with ALSA device: plughw:0,0
2025-05-01 09:37:19,821 - Logging setup complete!
2025-05-01 09:37:22,076 - Logging setup complete!
2025-05-01 10:06:21,276 - Accessing alsamixer
2025-05-01 10:06:21,279 - check for audio devices
2025-05-01 10:06:30,232 - Accessing alsamixer
2025-05-01 10:06:30,236 - check for audio devices
2025-05-01 10:06:41,580 - Accessing alsamixer
2025-05-01 10:06:41,581 - check for audio devices
2025-05-01 10:06:41,608 - Accessing alsamixer
2025-05-01 10:06:41,609 - check for audio devices
2025-05-01 10:06:44,092 - Accessing alsamixer
2025-05-01 10:06:44,094 - check for audio devices
2025-05-01 10:06:44,122 - Accessing alsamixer
2025-05-01 10:06:44,124 - check for audio devices
2025-05-01 10:06:47,236 - Accessing alsamixer
2025-05-01 10:06:47,237 - check for audio devices
2025-05-01 10:06:47,262 - Accessing alsamixer
2025-05-01 10:06:47,264 - check for audio devices
2025-05-01 10:06:54,234 - Accessing Audiomonitor
2025-05-01 10:06:54,239 - Starting GStreamer pipeline with ALSA device: plughw:0,0
2025-05-01 10:06:54,315 - GStreamer is running for audio monitoring.
2025-05-01 10:16:00,542 - Stopping GStreamer pipeline...
2025-05-01 10:16:00,603 - GStreamer pipeline stopped successfully.
2025-05-01 10:16:10,242 - Logging setup complete!
2025-05-01 10:19:32,404 - Logging setup complete!
2025-05-01 10:19:34,035 - Logging setup complete!
2025-05-01 10:20:10,705 - Accessing alsamixer
2025-05-01 10:20:10,706 - check for audio devices
2025-05-01 10:20:15,869 - Accessing alsamixer
2025-05-01 10:20:15,870 - check for audio devices
2025-05-01 10:20:15,885 - Accessing alsamixer
2025-05-01 10:20:15,886 - check for audio devices
2025-05-01 10:20:18,405 - Accessing alsamixer
2025-05-01 10:20:18,406 - check for audio devices
2025-05-01 10:20:18,421 - Accessing alsamixer
2025-05-01 10:20:18,422 - check for audio devices
2025-05-01 10:20:24,880 - Accessing Audiomonitor
2025-05-01 10:20:24,884 - Starting GStreamer pipeline with ALSA device: plughw:0,0
2025-05-01 10:20:24,951 - GStreamer is running for audio monitoring.
2025-05-01 10:20:24,983 - GStreamer pipeline state: <enum GST_STATE_PLAYING of type Gst.State>
2025-05-01 10:25:25,087 - Stopping GStreamer pipeline...
2025-05-01 10:25:25,135 - GStreamer pipeline stopped successfully.
2025-05-01 10:25:32,075 - Logging setup complete!
2025-05-01 10:25:34,463 - Logging setup complete!
2025-05-01 10:25:36,466 - Logging setup complete!
2025-05-01 10:25:38,469 - Logging setup complete!
2025-05-01 10:25:40,467 - Logging setup complete!
2025-05-01 10:25:42,463 - Logging setup complete!
2025-05-01 10:25:44,511 - Logging setup complete!
2025-05-01 10:25:46,467 - Logging setup complete!
2025-05-01 10:26:01,106 - Logging setup complete!
2025-05-01 10:26:03,211 - Logging setup complete!
2025-05-01 10:26:05,218 - Logging setup complete!
2025-05-01 10:26:07,213 - Logging setup complete!
2025-05-01 10:26:09,213 - Logging setup complete!
2025-05-01 10:26:11,213 - Logging setup complete!
2025-05-01 10:26:13,212 - Logging setup complete!
2025-05-01 10:26:15,207 - Logging setup complete!
2025-05-01 10:26:17,219 - Logging setup complete!
2025-05-01 10:26:19,228 - Logging setup complete!
2025-05-01 10:26:21,213 - Logging setup complete!
2025-05-01 10:26:23,227 - Logging setup complete!
2025-05-01 10:26:25,211 - Logging setup complete!
2025-05-01 10:26:27,210 - Logging setup complete!
2025-05-01 10:26:29,211 - Logging setup complete!
2025-05-01 10:27:26,810 - Logging setup complete!
2025-05-01 20:48:52,275 - Logging setup complete!
2025-05-01 20:48:53,901 - Logging setup complete!
2025-05-01 20:49:41,309 - Accessing alsamixer
2025-05-01 20:49:41,311 - check for audio devices
2025-05-01 20:49:48,477 - Accessing alsamixer
2025-05-01 20:49:48,479 - check for audio devices
2025-05-01 20:49:48,493 - Accessing alsamixer
2025-05-01 20:49:48,494 - check for audio devices
2025-05-01 20:49:54,013 - Accessing Audiomonitor
2025-05-01 20:49:54,018 - Starting GStreamer pipeline with ALSA device: plughw:0,0
2025-05-01 20:49:54,084 - GStreamer is running for audio monitoring.
